"numbers","solutions","solvable","amt","solved_rate","mean_time","std_time"
"[1,1,1,8]","['(1+1+1)×8']",true,4.46,0.988,4.66,1.25
"[1,1,1,11]","['(11+1)×(1+1)']",true,5.28,0.9740000000000001,5.6,1.67
"[1,1,1,12]","['(1+1)×12×1']",true,4.82,0.993,5.15,1.6
"[1,1,1,13]","['(13-1)×(1+1)']",true,5.55,0.9740000000000001,5.88,1.78
"[1,1,2,6]","['(1+1)×6×2','(2+1+1)×6']",true,5.07,0.986,5.4,1.61
"[1,1,2,7]","['(7+1)×(2+1)']",true,6.73,0.955,6.95,2.06
"[1,1,2,8]","['(2+1)×8×1']",true,4.97,0.978,5.33,1.74
"[1,1,2,9]","['(9-1)×(2+1)']",true,6.8,0.95,7.11,2.31
"[1,1,2,10]","['(10+2)×(1+1)','(10+1+1)×2']",true,5.7,0.9570000000000001,6.01,1.84
"[1,1,2,11]","['11×2+1+1','(1+1)×11+2','(11+1)×2×1']",true,5.08,0.99,5.42,1.7
"[1,1,2,12]","['12×2+1-1','12/(1-1/2)']",true,4.61,0.992,4.93,1.53
"[1,1,2,13]","['13×2-1-1','(1+1)×13-2','(13-1)×2×1']",true,5.19,0.988,5.51,1.79
"[1,1,3,4]","['(1+1)×4×3']",true,6.15,0.981,6.48,2.05
"[1,1,3,5]","['(5+1)×(3+1)']",true,6.92,0.9540000000000001,7.24,2.32
"[1,1,3,6]","['(6+1+1)×3','(3+1)×6×1']",true,5.2,0.9790000000000001,5.56,1.79
"[1,1,3,7]","['(7-1)×(3+1)','(7+1)×3×1']",true,5.5,0.971,5.83,1.94
"[1,1,3,8]","['8×3+1-1']",true,4.4,0.992,4.68,1.47
"[1,1,3,9]","['(9+3)×(1+1)','(9-1)×3×1']",true,5.19,0.97,5.53,1.84
"[1,1,3,10]","['(10-1-1)×3']",true,9.04,0.884,9.05,3.91
"[1,1,3,11]","['(11+1)×(3-1)']",true,6.47,0.946,6.73,2.01
"[1,1,3,12]","['(3-1)×12×1']",true,5.02,0.975,5.37,1.83
"[1,1,3,13]","['(13-1)×(3-1)']",true,6.02,0.953,6.37,2.13
"[1,1,4,4]","['(4+1+1)×4']",true,6.11,0.946,6.4,2.45
"[1,1,4,5]","['(4+1)×5-1','(5+1)×4×1']",true,5.4,0.9790000000000001,5.79,2
"[1,1,4,6]","['6×4+1-1']",true,4.36,0.992,4.63,1.45
"[1,1,4,7]","['(7-1)×4×1','(7+1)×(4-1)']",true,5.59,0.972,5.94,2.07
"[1,1,4,8]","['(8+4)×(1+1)','(8-1-1)×4','(4-1)×8×1']",true,5.03,0.982,5.4,1.83
"[1,1,4,9]","['(9-1)×(4-1)']",true,6.9,0.935,7.12,2.35
"[1,1,4,10]","['(1+1)×10+4']",true,9.67,0.847,9.43,5.1
"[1,1,4,12]","['12×4/(1+1)','(4-1-1)×12']",true,5.06,0.9740000000000001,5.47,1.83
"[1,1,5,5]","['(5+1)×(5-1)','(5×5-1)×1']",true,5.36,0.991,5.74,1.83
"[1,1,5,6]","['(5-1)×6×1','(6-1)×5-1']",true,5.17,0.97,5.64,2.04
"[1,1,5,7]","['(7+5)×(1+1)','(7-1)×(5-1)']",true,6.27,0.966,6.61,2.11
"[1,1,5,8]","['(5-1-1)×8']",true,5.02,0.965,5.39,1.83
"[1,1,6,6]","['(6+6)×(1+1)','(6-1-1)×6']",true,6.11,0.9740000000000001,6.54,2.21
"[1,1,6,8]","['8×6/(1+1)']",true,7.33,0.95,7.69,2.54
"[1,1,6,9]","['(1+1)×9+6']",true,13.99,0.8059999999999999,12.01,6.75
"[1,1,6,12]","['(1+1)×6+12']",true,6.95,0.909,7.51,3.43
"[1,1,7,10]","['(1+1)×7+10']",true,8.37,0.85,8.4,4.33
"[1,1,8,8]","['(1+1)×8+8']",true,7.23,0.897,7.72,3.87
"[1,1,9,13]","['13+9+1+1']",true,6.18,0.973,6.64,2.53
"[1,1,10,12]","['12+10+1+1']",true,4.8,0.99,5.04,1.53
"[1,1,10,13]","['(13+10+1)×1']",true,5.72,0.98,6.15,2.19
"[1,1,11,11]","['11+11+1+1']",true,4.42,0.995,4.68,1.43
"[1,1,11,12]","['(12+11+1)×1']",true,5.26,0.9940000000000001,5.66,1.76
"[1,1,11,13]","['13+11+1-1']",true,5.23,0.991,5.64,1.81
"[1,1,12,12]","['12+12+1-1']",true,5,0.993,5.38,1.64
"[1,1,12,13]","['(13+12-1)×1']",true,5.45,0.988,5.84,1.85
"[1,1,13,13]","['13+13-1-1']",true,5.14,0.9940000000000001,5.46,1.64
"[1,2,2,4]","['(2+1)×4×2']",true,7.6,0.958,7.94,2.47
"[1,2,2,5]","['(5+1)×(2+2)','(5+1)×2×2']",true,7.78,0.9470000000000001,8.07,2.85
"[1,2,2,6]","['(6+2)×(2+1)','6×2×2×1','(2+2)×6×1']",true,4.78,0.993,5.13,1.58
"[1,2,2,7]","['(7-1)×(2+2)','(7-1)×2×2']",true,8.47,0.9179999999999999,8.8,3.37
"[1,2,2,8]","['(2+2-1)×8','(2×2-1)×8']",true,6.36,0.935,6.8,2.7
"[1,2,2,9]","['(9+2+1)×2']",true,10.95,0.8240000000000001,10.15,4.57
